Sr No~Title~Author~biblionumber
1~`l' is for lawless~Grafton, Sue~1648
461~Aapan sare arjun आपण सार अर जुन~Kale, Va.Pu.~4780
462~Aaparichitanchya krantikatha अपरिचितांच या क रांतिकथा~Godse, Gopal~924
463~Aapla police आपला प लीस~Soman, D. S. [Et.al]~6732
464~Aapta~Aavchat, Anil.~13348
465~Aapulaki आपुलकी~Deshpande, Pu. La.~8175
466~Aaranyak ani koham आरण यक आणि क sहम~Londhe, Lakshman~18113
467~Aaranyaka !!आरण यक!!~Vatave, Milind~4786
468~Aarasa आरसा~Joshi, C. V.~8700
469~Aarogya-yog aasan-pranayam, dharana-dhyan आर ग य-य ग आसन-प राणायाम, धारणा-ध यान~Iyengar, B.K.S.~2421
470~Aarogyasampada Tanamanachi आरोग्यसंपदा ताणामनाची ३ स्व -उपचार प्रक्रिया~Mackwani, Sonia~20792
471~Aarsa आरसा&~Kakade, Aasavari.~8038
472~Aarthik navalkatha आर थिक नवलकथा~Gadgil, Gangadhar~13917
473~Aarthik vishamtayen~Sen, Amartya~14297
474~Aarya आर य~Patavardhan, Vasanta~8028
475~Aasa ghadala sachin असा घडला सचिन~Tendulkar, Ajit~11796
476~Aasamant nisargnirikshananvar adharit lekhancha sanghraha आसमंतनिसर ग निरीक षणांवर आधारित ल खांचा संग रह~Ingalhalikar, Srikant~17996
477~Aashak masta phakir आशक मस त फकीर~Dev, Vina.~19106
478~Aastitva/अस्तित्व~Murty, Sudha~22115
479~Aathvaniteel vyakti ani prasanga आठवणीतील व यक ती आणि प रसंग~Pandit, Bal~5915
480~Aathwanitlya kavita 1 आठवणीतल या कविताभाग(१)~Mahajan, Padmakar~14726
481~Aathwanitlya kavita 2 आठवणीतल या कविताभाग (२)~Mahajan, Padmakar~741
482~Aathwanitlya kavita 3 आठवणीतल या कविताभाग(३)~Mahajan, Padmakar~8540
483~Aathwanitlya kavita bhag 4 आठवणीतल या कविताभाग(४)~Mahajan, Padmakar~14929
484~Aavadalele ramesh mantri आवडल ल रम श मंत री~Gadgil, Bal [Sampa]~14913
485~Aavadleli manase आवडल ली माणस~Pundalik, Vidyadhar~19384
486~Aavara maseeha~Vishnu Prabhakar~20058
487~Aavartan आवर तन~Saniya.~16971
488~Aavishkar आविष कार~Pargaokar, Vi. Sham.~6178
489~Aaydan, 6th ~Pawar, Urmila~449
490~Aayushyachi valan ani valnavarch ayushya आयुष्याची वळणं आणि वळणावरच आयुष्य~Kulkarni, Ramesh~34158
491~Abc of research for behavioural and social sciences~Nalwa, Vanit~7290
492~Abc's of 1-2-3~Gilbert C.~14882
493~Abc's of 1-2-3 ed ~Robbins, Judd~17699
494~Abc's of auto cad release 12~Miller, A.R.~19475
495~Abc's of local area networks~Dortch, Michael.~6591
496~Abc's of the human mind~Reader's Digest~12762
497~Abc's of the ibm pc and compatibles~Lasselle, Joan~22307
498~Abc's of windows 31~Neibauer, Alan R.~16503
499~Abcs of microsoft office 97~Hart-Davis, Guy~19653
500~Abduction~Cook, R.~2454
501~Abdus salam~Singh, Jagjit~14990
502~Abeera gulal अबीर गुलाल~Karnik, Madhu Mangesh~15133
503~Abhalgondan आभाळग ंदण~Joshi, D.V.~6782
504~Abhayam sarvada (Hindi)~LIC MF~25634
505~Abhigyan        ~Bandyopadhyay, Nirmalya~33900
506~Abhijat satyajit rai yanchi chitrasampada, translated by sudhir nandgaonkar अभिजातसत यजित राय यांची चित रसंपदा अनुवाद- सुधीर नांदगावकर~Dasgupta, C.~16501
507~Abhijat अभिजात ~Mehta, Shailendra~34145
508~Abhinay अभिनय~Nadkarni, Dnyaneshvar.~14002
509~Abhinaysamradni minakumari अभिनयसम राज ञी मीनाकुमारी~Jog, V.S.~16521
510~Abhisarika अभिसारिका ~Vadgabalkar, shrutishri~34168
511~Abhogi अभ गी~Desai, Ranajit.~18682
512~Abnormal psychology and modern life~Carson, R.C. [Et.al]~22036
513~Aboli [kadambari] अब ली (कादंबरी)~Bavkar, Shilawati.~764
514~About Library~NIA~23685
515~Abridged tariff guide for general insurance agents~General Insurance Ready Reckoner~9499
516~Absalom, absalom!~Faulkner, W.~18826
517~Absenteeism, research and management~Shetty, P.N.~20268
518~Absolute beginner's guide to c~Perry, Greg~672
519~Absolute power~Dalal, Sucheta~33978
520~Absolute victory~Pino, Robert~18261
521~Academic library and its users~Jordan, P.~17362
522~Academic writing ~Monippally, Mathukutty M.~12559
523~Acapulco 15-20 november, november -december 1981 papers~Hemisferic Insurance [Et.al]~22254
524~Acc~Chaturvedi, Abha and Chaturvedi, Anil~8868
525~Acc no 5814 cancelled (gic report 1991 bound )~General Insurance Corporation of India~13843
526~Accelerate~Kotter, John P.~19592
527~Accelerated learning for the 21st century~Rose, Colin [Et.al]~13127
528~Accelerating performance~Rostron, Sunny Stout~19807
529~Acceptable risk~Cook, Robin~14420
530~Access 2000 fast and easy~Rutledge, P.A.~19546
531~Access 2000 for windows for dummies~Kaufeld, J.~8548
532~Access for windows 95 (with disk)~Siegel, Charles~5029
533~Access in easy steps~Copestake, S.~14440
534~Access to affordable medicines~Gamharter, Katharina~6785
535~Access to healthcare~Assocham India~15553
536~Accessing and analyzing data with microsoft excel (with cd-rom)~Cornell, Paul~7453
537~Accessing and analyzing data with Microsoft Excel (with CD-ROM)~Cornell, Paul~24203
538~Accident~Steel, Danielle~15101
539~Accident analysis~CIRT~6165
540~Accident analysis and risk control~Viner, Derek~11227
541~Accident claims digest 1991-1995~Gujrathi, B.K.Das~7997
542~Accident claims digest 1992-2002~Sarin, M.L.~1825
543~Accidental deaths and sucides in India 1999~Prasad, Sharda~16201
544~Accidental prime minister~Baru, Sanjay~8269
545~Accidential apprentice~Swarup, Vikas~963
546~Accidents and compensation laws~Kannan, K.~13431
547~Accidents claims journal      ~~33891
548~Accidents, compensation and the law~Cane, Peter~13957
549~Accountancy~Bapat, R.G.~19590
550~Accountancy        ~Brain Singleton-Green~33694
551~Accountancy        ~Brain Singleton-Green~33695
552~Accountancy's faulty sums~Bhattacharya, Keron~17857
553~Accounting~Horngren, Charles~18422
554~Accounting~Eve, John~18423
555~Accounting~Meigs, R.F. [Et.al]~18424
556~Accounting & finance for managers in insurance - cii 940~CII~16965
557~Accounting analysis of the efficiency of public enterprises~Icpe~21886
558~Accounting and finance for insurance professionals~Marshall, David H.~8913
559~Accounting and finance for managers~Kind, John~12749
560~Accounting and finance for managers in insurance (cii study course 940)~CII~17582
561~Accounting and finance for managers in insurance (with special reference to lloyd's [study course 941]~CII~2430
562~Accounting and management accounting (fi-95)~FII~12435
563~Accounting and statistical techniques~Gupta, S.~16207
564~Accounting control~Sudarshan, R~14409
565~Accounting for futures contracts~FASB~9771
566~Accounting for management~Bhattacharyya S. K~7620
567~Accounting for management decisions~Gibbs, George~19288
568~Accounting for managers~Pasha, Mohammed Arif~11390
569~Accounting for pension costs~Accounting Standards Committee.~14603
570~Accounting for pension costs~A.S.C.~14604
571~Accounting information systems~Robinson, Leonard A. [Et.al]~3051
572~Accounting information systems~Cushing, B.~3052
573~Accounting practices for investment mgt in banks~Chawla~1023
574~Accounting principles and policies and formats for financial statements~New Delhi~19846
575~Accounting standards~ICFAI~2523
576~Accounting standards~ICFAI~2524
577~Accounting standards and corporate accounting practices ~Ghosh, T.P.~17602
578~Accounting standards and corporate accounting practices with special emphasis on international accounting standards~Ghosh, T.P.~17723
579~Accounting theory and practice~Batra, G.S. Ed.~20600
580~Accounts and audit of insurance brokers and pia members~Fazal, Z. [Et.al]~11150
581~Accounts and taxation~Caldicott, I.R.~11658
582~Acelerating organisation~Maira, Arun [Et.al]~3406
583~Acharya atranchi chitragitae dharmaveer te choravar mor ya acharaya atranchya chitrapatatile gitanche rasgrahan आचार य अत र यांची चित रगीत 'धर मवीर' त 'च रावर म र' या आचार य अत र यांच या चित रपटातील गीतांच रसग रहण~Mbare, Gangadharadd.~16747
584~Acharya atre pratibha ani pratima (shatasamvatsari samalochak grantha) आचार य अत र प रतिभा आणि प रतिमा (शातासंवात सरी समाल चक ग रंथ)~Pai, Shirish Ani Itar (Sampa.)~13572
585~Achievements commitment challenges~Life Underwriters Ass. of Canada~10057
586~Achievements in anonymity~Sharma, Kollegala~19183
587~Achieving business alchemy in a week~Ashton, Robert~12782
588~Achieving excellence~Vakil, Tarjani~3410
589~Achieving harmoniam industrial relations~Chaturvedi, Abha~14217
590~Achieving managerial excellence~Bhattacharyya S. K~8759
591~Achieving peak performance - a step by step system to grow~Qubein, Nido R.~10318
592~Achieving results through time management~Atkinson, Philip E~20979
593~Achyut kanvinde-akar~Kanvinde Tanuja~16209
594~Acoounting and analysis: the Indian experience: 2004, edn.2~~25216
595~Acoounting and analysis: the Indian experience: 2004, edn.2~Global Data Services of India~25217
596~Acronis true image echo enterprise server~Acronis~25711
597~Acronis true image echo workstation~Acronis~25464
598~Acronis true image server fo linux~Acronis~25483
599~Acted study materials~Actuarial Education Company~4846
600~Acted study materials~Actuarial Education Company~4847
601~Acted study materials~Actuarial Education Company~4848
602~Acted study materials~Actuarial Education Company~4849
603~Acted study materials~Actuarial Education Company~4850
604~Acted study materials~Actuarial Education Company~4851
605~Acted study materials~Actuarial Education Company~4852
606~Acted study materials~Actuarial Education Company~4853
607~Acted study materials~Actuarial Education Company~4854
608~Acted study materials~Actuarial Education Company~4855
609~Acted study materials~Actuarial Education Company~4856
610~Acted study materials~Actuarial Education Company~4857
611~Acted study materials~Actuarial Education Company~4858
612~Acted study materials~Actuarial Education Company~4859
613~Acted study materials~Actuarial Education Company~4860
614~Acted study materials~Actuarial Education Company~4861
615~Acted study materials~Actuarial Education Company~4862
616~Acted study materials~Actuarial Education Company~4863
617~Acted study materials~Actuarial Education Company~4864
618~Acted study materials~Actuarial Education ~4865
619~Acted study materials~Actuarial Education ~4866
620~Acted study materials~Actuarial Education ~4867
621~Acted study materials~Actuarial Education ~4868
622~Acted study materials~Actuarial Education ~4869
623~Acted study materials~Actuarial Education ~4870
624~Acted study materials~Actuarial Education ~4871
625~Acted study materials~Actuarial Education ~4872
626~Acted study materials~Actuarial Education ~4873
627~Acted study materials~Actuarial Education ~4874
628~Acted study materials~Actuarial Education ~4875
629~Acted study materials~Actuarial Education ~4876
630~Acted study materials~Actuarial Education ~4877
631~Acted study materials~Actuarial Education ~4878
632~Acted study materials~Actuarial Education ~4879
633~Acted study materials~Actuarial Education ~4880
634~Acted study materials~Actuarial Education ~4881
635~Acted study materials~Actuarial Education ~4882
636~Acted study materials~Actuarial Education ~4883
637~Acted study materials~Actuarial Education ~4884
638~Acted study materials~Actuarial Education ~4885
639~Acted study materials~Actuarial Education ~4886
640~Acted study materials~Actuarial Education ~4887
641~Acted study materials~Actuarial Education ~4888
642~Acted study materials~Actuarial Education ~4889
643~Acted study materials~Actuarial Education ~4890
644~Acted study materials~Actuarial Education ~4891
645~Acting under uncertainty~Von Furstenberg, George~6108
646~Action centred leader~~16179
647~Action tools for effective managers~Gootnick, Margaret Mary~17673
648~Action-centred leadership~Adair, John.~3319
649~Active asset allocation~Arnott, R.D. [Et.al]~8178
650~Active assset allocation~Good, Water R. [Et.al]~2094
651~Active couple: CD01~~25207
652~Active learning~Silberman, Mel [Et.al]~4141
653~Active learning~Baldwin, Jill & Williams, Hank~4142
654~Active protfolio management - quantitative theory and application~Grinold, R.C. [Et.al]~21212
655~Active training~Silberman, Mel~14006
656~Active training~Silberman, Mel~14007
657~Activities of unctad's special programme on insurance~United Nations Conference On Trade and Development~18097
658~Activity course in office administration~Brealey, Ronald~18153
659~Acts of faith~Segal, Erich~19412
660~Acts of love~Michael, Judith~1493
661~Acts of war~Clancy, Tom [Et.al]~15945
662~Actuarial aspects~Easton, Albert E.~15357
663~Actuarial aspects: of individual life insurance and contracts, edn.2 (with CD)~Easton, Albert E.~23520
664~Actuarial directory 2002~Actuarial Profession~258
665~Actuarial directory 2004~Actuarial Profession~2110
666~Actuarial directory 2005~Institute of Actuaries~8927
667~Actuarial directory 2007~Institute of Actuaries~21635
668~Actuarial glossary~~23137
669~Actuarial investigations~Luffrum, Graham~2194
670~Actuarial management of a unit - linked office~Iqbal, M.~5575
671~Actuarial mathematics~Bowers, N.L. and Others~17055
672~Actuarial mathematics for life contigent risks~Dickson, David C.M.~21916
673~Actuarial mathematics of social security pensions~Iyer, Subramaniam~3054
674~Actuarial models~Rotar, Vladimir I.~2537
675~Actuarial models for disability insurance~Haberman, S. [Et. Al.]~21828
676~Actuarial practice in social security~Plamondon, Pierre~19167
677~Actuarial practice of general insurance~Hart, D.G.~5020
678~Actuarial practice of life assurance~Fisher, H.F.~75
679~Actuarial principles and practice~ICRIM~876
680~Actuarial principles and practice~ICRIM~877
681~Actuarial profession in the european communities~Wilkie, A.D.~7773
682~Actuarial society of India study material 2004~ASI~23083
683~Actuarial society of India study material 2005~ASI~22698
684~Actuary India       ~Sharma, Sunil~33742
685~Actuary- protector of a general insurer's balance sheet (5 february 2002)~Finnis, Dave~10233
686~Acturial society of India~ASI~1217
